8191
0		0		0.5
0		1		0.25
0		2		0.25
1		0		0.25
1		1		0.5
1		3		0.125
1		4		0.125
2		0		0.25
2		2		0.5
2		5		0.125
2		6		0.125
3		1		0.25
3		3		0.5
3		7		0.125
3		8		0.125
4		1		0.25
4		4		0.5
4		9		0.125
4		10		0.125
5		2		0.25
5		5		0.5
5		11		0.125
5		12		0.125
6		2		0.25
6		6		0.5
6		13		0.125
6		14		0.125
7		3		0.25
7		7		0.5
7		15		0.125
7		16		0.125
8		3		0.25
8		8		0.5
8		17		0.125
8		18		0.125
9		4		0.25
9		9		0.5
9		19		0.125
9		20		0.125
10		4		0.25
10		10		0.5
10		21		0.125
10		22		0.125
11		5		0.25
11		11		0.5
11		23		0.125
11		24		0.125
12		5		0.25
12		12		0.5
12		25		0.125
12		26		0.125
13		6		0.25
13		13		0.5
13		27		0.125
13		28		0.125
14		6		0.25
14		14		0.5
14		29		0.125
14		30		0.125
15		7		0.25
15		15		0.5
15		31		0.125
15		32		0.125
16		7		0.25
16		16		0.5
16		33		0.125
16		34		0.125
17		8		0.25
17		17		0.5
17		35		0.125
17		36		0.125
18		8		0.25
18		18		0.5
18		37		0.125
18		38		0.125
19		9		0.25
19		19		0.5
19		39		0.125
19		40		0.125
20		9		0.25
20		20		0.5
20		41		0.125
20		42		0.125
21		10		0.25
21		21		0.5
21		43		0.125
21		44		0.125
22		10		0.25
22		22		0.5
22		45		0.125
22		46		0.125
23		11		0.25
23		23		0.5
23		47		0.125
23		48		0.125
24		11		0.25
24		24		0.5
24		49		0.125
24		50		0.125
25		12		0.25
25		25		0.5
25		51		0.125
25		52		0.125
26		12		0.25
26		26		0.5
26		53		0.125
26		54		0.125
27		13		0.25
27		27		0.5
27		55		0.125
27		56		0.125
28		13		0.25
28		28		0.5
28		57		0.125
28		58		0.125
29		14		0.25
29		29		0.5
29		59		0.125
29		60		0.125
30		14		0.25
30		30		0.5
30		61		0.125
30		62		0.125
31		15		0.25
31		31		0.5
31		63		0.125
31		64		0.125
32		15		0.25
32		32		0.5
32		65		0.125
32		66		0.125
33		16		0.25
33		33		0.5
33		67		0.125
33		68		0.125
34		16		0.25
34		34		0.5
34		69		0.125
34		70		0.125
35		17		0.25
35		35		0.5
35		71		0.125
35		72		0.125
36		17		0.25
36		36		0.5
